"Fylkesnr_2019","Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","Region"
12,"HORDALAND",1241,"FUSA",46,"VESTLAND",4624,"BJØRNAFJORDEN","Vestlandet"
12,"HORDALAND",1242,"SAMNANGER",46,"VESTLAND",4623,"SAMNANGER","Vestlandet"
12,"HORDALAND",1243,"OS (HORDALAND)",46,"VESTLAND",4624,"BJØRNAFJORDEN","Vestlandet"
12,"HORDALAND",1244,"AUSTEVOLL",46,"VESTLAND",4625,"AUSTEVOLL","Vestlandet"
12,"HORDALAND",1245,"SUND",46,"VESTLAND",4626,"ØYGARDEN","Vestlandet"
12,"HORDALAND",1246,"FJELL",46,"VESTLAND",4626,"ØYGARDEN","Vestlandet"
12,"HORDALAND",1247,"ASKØY",46,"VESTLAND",4627,"ASKØY","Vestlandet"
12,"HORDALAND",1251,"VAKSDAL",46,"VESTLAND",4628,"VAKSDAL","Vestlandet"
12,"HORDALAND",1252,"MODALEN",46,"VESTLAND",4629,"MODALEN","Vestlandet"
12,"HORDALAND",1253,"OSTERØY",46,"VESTLAND",4630,"OSTERØY","Vestlandet"
12,"HORDALAND",1256,"MELAND",46,"VESTLAND",4631,"ALVER","Vestlandet"
12,"HORDALAND",1259,"ØYGARDEN",46,"VESTLAND",4626,"ØYGARDEN","Vestlandet"
12,"HORDALAND",1260,"RADØY",46,"VESTLAND",4631,"ALVER","Vestlandet"
12,"HORDALAND",1263,"LINDÅS",46,"VESTLAND",4631,"ALVER","Vestlandet"
12,"HORDALAND",1264,"AUSTRHEIM",46,"VESTLAND",4632,"AUSTRHEIM","Vestlandet"
12,"HORDALAND",1265,"FEDJE",46,"VESTLAND",4633,"FEDJE","Vestlandet"
12,"HORDALAND",1266,"MASFJORDEN",46,"VESTLAND",4634,"MASFJORDEN","Vestlandet"
14,"SOGN OG FJORDANE",1401,"FLORA",46,"VESTLAND",4602,"KINN","Vestlandet"
14,"SOGN OG FJORDANE",1411,"GULEN",46,"VESTLAND",4635,"GULEN","Vestlandet"
14,"SOGN OG FJORDANE",1412,"SOLUND",46,"VESTLAND",4636,"SOLUND","Vestlandet"
14,"SOGN OG FJORDANE",1413,"HYLLESTAD",46,"VESTLAND",4637,"HYLLESTAD","Vestlandet"
14,"SOGN OG FJORDANE",1416,"HØYANGER",46,"VESTLAND",4638,"HØYANGER","Vestlandet"
14,"SOGN OG FJORDANE",1417,"VIK",46,"VESTLAND",4639,"VIK","Vestlandet"
14,"SOGN OG FJORDANE",1418,"BALESTRAND",46,"VESTLAND",4640,"SOGNDAL","Vestlandet"
14,"SOGN OG FJORDANE",1419,"LEIKANGER",46,"VESTLAND",4640,"SOGNDAL","Vestlandet"
14,"SOGN OG FJORDANE",1420,"SOGNDAL",46,"VESTLAND",4640,"SOGNDAL","Vestlandet"
14,"SOGN OG FJORDANE",1421,"AURLAND",46,"VESTLAND",4641,"AURLAND","Vestlandet"
14,"SOGN OG FJORDANE",1422,"LÆRDAL",46,"VESTLAND",4642,"LÆRDAL","Vestlandet"
14,"SOGN OG FJORDANE",1424,"ÅRDAL",46,"VESTLAND",4643,"ÅRDAL","Vestlandet"
14,"SOGN OG FJORDANE",1426,"LUSTER",46,"VESTLAND",4644,"LUSTER","Vestlandet"
14,"SOGN OG FJORDANE",1428,"ASKVOLL",46,"VESTLAND",4645,"ASKVOLL","Vestlandet"
14,"SOGN OG FJORDANE",1429,"FJALER",46,"VESTLAND",4646,"FJALER","Vestlandet"
14,"SOGN OG FJORDANE",1430,"GAULAR",46,"VESTLAND",4647,"SUNNFJORD","Vestlandet"
14,"SOGN OG FJORDANE",1431,"JØLSTER",46,"VESTLAND",4647,"SUNNFJORD","Vestlandet"
14,"SOGN OG FJORDANE",1432,"FØRDE",46,"VESTLAND",4647,"SUNNFJORD","Vestlandet"
14,"SOGN OG FJORDANE",1433,"NAUSTDAL",46,"VESTLAND",4647,"SUNNFJORD","Vestlandet"
14,"SOGN OG FJORDANE",1438,"BREMANGER",46,"VESTLAND",4648,"BREMANGER","Vestlandet"
14,"SOGN OG FJORDANE",1439,"VÅGSØY",46,"VESTLAND",4602,"KINN","Vestlandet"
14,"SOGN OG FJORDANE",1441,"SELJE",46,"VESTLAND",4649,"STAD","Vestlandet"
14,"SOGN OG FJORDANE",1443,"EID",46,"VESTLAND",4649,"STAD","Vestlandet"
14,"SOGN OG FJORDANE",1444,"HORNINDAL",15,"MØRE OG ROMSDAL",1577,"VOLDA","Midt-Norge"
14,"SOGN OG FJORDANE",1445,"GLOPPEN",46,"VESTLAND",4650,"GLOPPEN","Vestlandet"
14,"SOGN OG FJORDANE",1449,"STRYN",46,"VESTLAND",4651,"STRYN","Vestlandet"
15,"MØRE OG ROMSDAL",1502,"MOLDE",15,"MØRE OG ROMSDAL",1506,"MOLDE","Midt-Norge"
15,"MØRE OG ROMSDAL",1504,"ÅLESUND",15,"MØRE OG ROMSDAL",1507,"ÅLESUND","Midt-Norge"
15,"MØRE OG ROMSDAL",1505,"KRISTIANSUND",15,"MØRE OG ROMSDAL",1505,"KRISTIANSUND","Midt-Norge"
15,"MØRE OG ROMSDAL",1511,"VANYLVEN",15,"MØRE OG ROMSDAL",1511,"VANYLVEN","Midt-Norge"
15,"MØRE OG ROMSDAL",1514,"SANDE",15,"MØRE OG ROMSDAL",1514,"SANDE","Midt-Norge"
15,"MØRE OG ROMSDAL",1515,"HERØY",15,"MØRE OG ROMSDAL",1515,"HERØY","Midt-Norge"
15,"MØRE OG ROMSDAL",1516,"ULSTEIN",15,"MØRE OG ROMSDAL",1516,"ULSTEIN","Midt-Norge"
15,"MØRE OG ROMSDAL",1517,"HAREID",15,"MØRE OG ROMSDAL",1517,"HAREID","Midt-Norge"
15,"MØRE OG ROMSDAL",1519,"VOLDA",15,"MØRE OG ROMSDAL",1577,"VOLDA","Midt-Norge"
15,"MØRE OG ROMSDAL",1520,"ØRSTA",15,"MØRE OG ROMSDAL",1520,"ØRSTA","Midt-Norge"
15,"MØRE OG ROMSDAL",1523,"ØRSKOG",15,"MØRE OG ROMSDAL",1507,"ÅLESUND","Midt-Norge"
15,"MØRE OG ROMSDAL",1524,"NORDDAL",15,"MØRE OG ROMSDAL",1578,"FJORD","Midt-Norge"
15,"MØRE OG ROMSDAL",1525,"STRANDA",15,"MØRE OG ROMSDAL",1525,"STRANDA","Midt-Norge"
15,"MØRE OG ROMSDAL",1526,"STORDAL",15,"MØRE OG ROMSDAL",1578,"FJORD","Midt-Norge"
15,"MØRE OG ROMSDAL",1528,"SYKKYLVEN",15,"MØRE OG ROMSDAL",1528,"SYKKYLVEN","Midt-Norge"
15,"MØRE OG ROMSDAL",1529,"SKODJE",15,"MØRE OG ROMSDAL",1507,"ÅLESUND","Midt-Norge"
15,"MØRE OG ROMSDAL",1531,"SULA",15,"MØRE OG ROMSDAL",1531,"SULA","Midt-Norge"
15,"MØRE OG ROMSDAL",1532,"GISKE",15,"MØRE OG ROMSDAL",1532,"GISKE","Midt-Norge"
15,"MØRE OG ROMSDAL",1534,"HARAM",15,"MØRE OG ROMSDAL",1507,"ÅLESUND","Midt-Norge"
15,"MØRE OG ROMSDAL",1535,"VESTNES",15,"MØRE OG ROMSDAL",1535,"VESTNES","Midt-Norge"
15,"MØRE OG ROMSDAL",1539,"RAUMA",15,"MØRE OG ROMSDAL",1539,"RAUMA","Midt-Norge"
15,"MØRE OG ROMSDAL",1543,"NESSET",15,"MØRE OG ROMSDAL",1506,"MOLDE","Midt-Norge"
15,"MØRE OG ROMSDAL",1545,"MIDSUND",15,"MØRE OG ROMSDAL",1506,"MOLDE","Midt-Norge"
15,"MØRE OG ROMSDAL",1546,"SANDØY",15,"MØRE OG ROMSDAL",1507,"ÅLESUND","Midt-Norge"
15,"MØRE OG ROMSDAL",1547,"AUKRA",15,"MØRE OG ROMSDAL",1547,"AUKRA","Midt-Norge"
15,"MØRE OG ROMSDAL",1548,"FRÆNA",15,"MØRE OG ROMSDAL",1579,"HUSTADVIKA","Midt-Norge"
15,"MØRE OG ROMSDAL",1551,"EIDE",15,"MØRE OG ROMSDAL",1579,"HUSTADVIKA","Midt-Norge"
15,"MØRE OG ROMSDAL",1554,"AVERØY",15,"MØRE OG ROMSDAL",1554,"AVERØY","Midt-Norge"
15,"MØRE OG ROMSDAL",1557,"GJEMNES",15,"MØRE OG ROMSDAL",1557,"GJEMNES","Midt-Norge"
15,"MØRE OG ROMSDAL",1560,"TINGVOLL",15,"MØRE OG ROMSDAL",1560,"TINGVOLL","Midt-Norge"
15,"MØRE OG ROMSDAL",1563,"SUNNDAL",15,"MØRE OG ROMSDAL",1563,"SUNNDAL","Midt-Norge"
15,"MØRE OG ROMSDAL",1566,"SURNADAL",15,"MØRE OG ROMSDAL",1566,"SURNADAL","Midt-Norge"
15,"MØRE OG ROMSDAL",1571,"HALSA",50,"TRØNDELAG",5055,"HEIM","Midt-Norge"
15,"MØRE OG ROMSDAL",1573,"SMØLA",15,"MØRE OG ROMSDAL",1573,"SMØLA","Midt-Norge"
15,"MØRE OG ROMSDAL",1576,"AURE",15,"MØRE OG ROMSDAL",1576,"AURE","Midt-Norge"
18,"NORDLAND",1804,"BODØ",18,"NORDLAND",1804,"BODØ","Nord-Norge"
18,"NORDLAND",1805,"NARVIK",18,"NORDLAND",1806,"NARVIK","Nord-Norge"
18,"NORDLAND",1811,"BINDAL",18,"NORDLAND",1811,"BINDAL","Nord-Norge"
18,"NORDLAND",1812,"SØMNA",18,"NORDLAND",1812,"SØMNA","Nord-Norge"
18,"NORDLAND",1813,"BRØNNØY",18,"NORDLAND",1813,"BRØNNØY","Nord-Norge"
18,"NORDLAND",1815,"VEGA",18,"NORDLAND",1815,"VEGA","Nord-Norge"
18,"NORDLAND",1816,"VEVELSTAD",18,"NORDLAND",1816,"VEVELSTAD","Nord-Norge"
18,"NORDLAND",1818,"HERØY",18,"NORDLAND",1818,"HERØY","Nord-Norge"
18,"NORDLAND",1820,"ALSTAHAUG",18,"NORDLAND",1820,"ALSTAHAUG","Nord-Norge"
18,"NORDLAND",1822,"LEIRFJORD",18,"NORDLAND",1822,"LEIRFJORD","Nord-Norge"
18,"NORDLAND",1824,"VEFSN",18,"NORDLAND",1824,"VEFSN","Nord-Norge"
18,"NORDLAND",1825,"GRANE",18,"NORDLAND",1825,"GRANE","Nord-Norge"
18,"NORDLAND",1826,"HATTFJELLDAL",18,"NORDLAND",1826,"HATTFJELLDAL","Nord-Norge"
18,"NORDLAND",1827,"DØNNA",18,"NORDLAND",1827,"DØNNA","Nord-Norge"
18,"NORDLAND",1828,"NESNA",18,"NORDLAND",1828,"NESNA","Nord-Norge"
18,"NORDLAND",1832,"HEMNES",18,"NORDLAND",1832,"HEMNES","Nord-Norge"
18,"NORDLAND",1833,"RANA",18,"NORDLAND",1833,"RANA","Nord-Norge"
18,"NORDLAND",1834,"LURØY",18,"NORDLAND",1834,"LURØY","Nord-Norge"
18,"NORDLAND",1835,"TRÆNA",18,"NORDLAND",1835,"TRÆNA","Nord-Norge"
18,"NORDLAND",1836,"RØDØY",18,"NORDLAND",1836,"RØDØY","Nord-Norge"
18,"NORDLAND",1837,"MELØY",18,"NORDLAND",1837,"MELØY","Nord-Norge"
18,"NORDLAND",1838,"GILDESKÅL",18,"NORDLAND",1838,"GILDESKÅL","Nord-Norge"
18,"NORDLAND",1839,"BEIARN",18,"NORDLAND",1839,"BEIARN","Nord-Norge"
18,"NORDLAND",1840,"SALTDAL",18,"NORDLAND",1840,"SALTDAL","Nord-Norge"
18,"NORDLAND",1841,"FAUSKE",18,"NORDLAND",1841,"FAUSKE","Nord-Norge"
18,"NORDLAND",1845,"SØRFOLD",18,"NORDLAND",1845,"SØRFOLD","Nord-Norge"
18,"NORDLAND",1848,"STEIGEN",18,"NORDLAND",1848,"STEIGEN","Nord-Norge"
18,"NORDLAND",1849,"HAMARØY",18,"NORDLAND",1875,"HAMARØY","Nord-Norge"
18,"NORDLAND",1850,"TYSFJORD (DELES)",18,"NORDLAND",1806,"NARVIK","Nord-Norge"
18,"NORDLAND",1850,"TYSFJORD (DELES)",18,"NORDLAND",1875,"HAMARØY","Nord-Norge"
18,"NORDLAND",1851,"LØDINGEN",18,"NORDLAND",1851,"LØDINGEN","Nord-Norge"
18,"NORDLAND",1852,"TJELDSUND",54,"TROMS OG FINNMARK",5412,"TJELDSUND","Nord-Norge"
18,"NORDLAND",1853,"EVENES",18,"NORDLAND",1853,"EVENES","Nord-Norge"
18,"NORDLAND",1854,"BALLANGEN",18,"NORDLAND",1806,"NARVIK","Nord-Norge"
18,"NORDLAND",1856,"RØST",18,"NORDLAND",1856,"RØST","Nord-Norge"
18,"NORDLAND",1857,"VÆRØY",18,"NORDLAND",1857,"VÆRØY","Nord-Norge"
18,"NORDLAND",1859,"FLAKSTAD",18,"NORDLAND",1859,"FLAKSTAD","Nord-Norge"
18,"NORDLAND",1860,"VESTVÅGØY",18,"NORDLAND",1860,"VESTVÅGØY","Nord-Norge"
18,"NORDLAND",1865,"VÅGAN",18,"NORDLAND",1865,"VÅGAN","Nord-Norge"
18,"NORDLAND",1866,"HADSEL",18,"NORDLAND",1866,"HADSEL","Nord-Norge"
18,"NORDLAND",1867,"BØ",18,"NORDLAND",1867,"BØ","Nord-Norge"
18,"NORDLAND",1868,"ØKSNES",18,"NORDLAND",1868,"ØKSNES","Nord-Norge"
18,"NORDLAND",1870,"SORTLAND",18,"NORDLAND",1870,"SORTLAND","Nord-Norge"
18,"NORDLAND",1871,"ANDØY",18,"NORDLAND",1871,"ANDØY","Nord-Norge"
18,"NORDLAND",1874,"MOSKENES",18,"NORDLAND",1874,"MOSKENES","Nord-Norge"
19,"TROMS",1902,"TROMSØ",54,"TROMS OG FINNMARK",5401,"TROMSØ","Nord-Norge"
19,"TROMS",1903,"HARSTAD",54,"TROMS OG FINNMARK",5402,"HARSTAD","Nord-Norge"
19,"TROMS",1911,"KVÆFJORD",54,"TROMS OG FINNMARK",5411,"KVÆFJORD","Nord-Norge"
19,"TROMS",1913,"SKÅNLAND",54,"TROMS OG FINNMARK",5412,"TJELDSUND","Nord-Norge"
19,"TROMS",1917,"IBESTAD",54,"TROMS OG FINNMARK",5413,"IBESTAD","Nord-Norge"
19,"TROMS",1919,"GRATANGEN",54,"TROMS OG FINNMARK",5414,"GRATANGEN","Nord-Norge"
19,"TROMS",1920,"LAVANGEN",54,"TROMS OG FINNMARK",5415,"LAVANGEN","Nord-Norge"
19,"TROMS",1922,"BARDU",54,"TROMS OG FINNMARK",5416,"BARDU","Nord-Norge"
19,"TROMS",1923,"SALANGEN",54,"TROMS OG FINNMARK",5417,"SALANGEN","Nord-Norge"
19,"TROMS",1924,"MÅLSELV",54,"TROMS OG FINNMARK",5418,"MÅLSELV","Nord-Norge"
19,"TROMS",1925,"SØRREISA",54,"TROMS OG FINNMARK",5419,"SØRREISA","Nord-Norge"
19,"TROMS",1926,"DYRØY",54,"TROMS OG FINNMARK",5420,"DYRØY","Nord-Norge"
19,"TROMS",1927,"TRANØY",54,"TROMS OG FINNMARK",5421,"SENJA","Nord-Norge"
19,"TROMS",1928,"TORSKEN",54,"TROMS OG FINNMARK",5421,"SENJA","Nord-Norge"
19,"TROMS",1929,"BERG",54,"TROMS OG FINNMARK",5421,"SENJA","Nord-Norge"
19,"TROMS",1931,"LENVIK",54,"TROMS OG FINNMARK",5421,"SENJA","Nord-Norge"
19,"TROMS",1933,"BALSFJORD",54,"TROMS OG FINNMARK",5422,"BALSFJORD","Nord-Norge"
19,"TROMS",1936,"KARLSØY",54,"TROMS OG FINNMARK",5423,"KARLSØY","Nord-Norge"
19,"TROMS",1938,"LYNGEN",54,"TROMS OG FINNMARK",5424,"LYNGEN","Nord-Norge"
19,"TROMS",1939,"STORFJORD",54,"TROMS OG FINNMARK",5425,"STORFJORD","Nord-Norge"
19,"TROMS",1940,"KÅFJORD",54,"TROMS OG FINNMARK",5426,"KÅFJORD","Nord-Norge"
19,"TROMS",1941,"SKJERVØY",54,"TROMS OG FINNMARK",5427,"SKJERVØY","Nord-Norge"
19,"TROMS",1942,"NORDREISA",54,"TROMS OG FINNMARK",5428,"NORDREISA","Nord-Norge"
19,"TROMS",1943,"KVÆNANGEN",54,"TROMS OG FINNMARK",5429,"KVÆNANGEN","Nord-Norge"
20,"FINNMARK",2002,"VARDØ",54,"TROMS OG FINNMARK",5404,"VARDØ","Nord-Norge"
20,"FINNMARK",2003,"VADSØ",54,"TROMS OG FINNMARK",5405,"VADSØ","Nord-Norge"
20,"FINNMARK",2004,"HAMMERFEST",54,"TROMS OG FINNMARK",5406,"HAMMERFEST","Nord-Norge"
20,"FINNMARK",2011,"KAUTOKEINO",54,"TROMS OG FINNMARK",5430,"KAUTOKEINO","Nord-Norge"
20,"FINNMARK",2012,"ALTA",54,"TROMS OG FINNMARK",5403,"ALTA","Nord-Norge"
20,"FINNMARK",2014,"LOPPA",54,"TROMS OG FINNMARK",5432,"LOPPA","Nord-Norge"
20,"FINNMARK",2015,"HASVIK",54,"TROMS OG FINNMARK",5433,"HASVIK","Nord-Norge"
20,"FINNMARK",2017,"KVALSUND",54,"TROMS OG FINNMARK",5406,"HAMMERFEST","Nord-Norge"
20,"FINNMARK",2018,"MÅSØY",54,"TROMS OG FINNMARK",5434,"MÅSØY","Nord-Norge"
20,"FINNMARK",2019,"NORDKAPP",54,"TROMS OG FINNMARK",5435,"NORDKAPP","Nord-Norge"
20,"FINNMARK",2020,"PORSANGER",54,"TROMS OG FINNMARK",5436,"PORSANGER","Nord-Norge"
20,"FINNMARK",2021,"KARASJOK",54,"TROMS OG FINNMARK",5437,"KARASJOK","Nord-Norge"
20,"FINNMARK",2022,"LEBESBY",54,"TROMS OG FINNMARK",5438,"LEBESBY","Nord-Norge"
20,"FINNMARK",2023,"GAMVIK",54,"TROMS OG FINNMARK",5439,"GAMVIK","Nord-Norge"
20,"FINNMARK",2024,"BERLEVÅG",54,"TROMS OG FINNMARK",5440,"BERLEVÅG","Nord-Norge"
20,"FINNMARK",2025,"TANA",54,"TROMS OG FINNMARK",5441,"TANA","Nord-Norge"
20,"FINNMARK",2027,"NESSEBY",54,"TROMS OG FINNMARK",5442,"NESSEBY","Nord-Norge"
20,"FINNMARK",2028,"BÅTSFJORD",54,"TROMS OG FINNMARK",5443,"BÅTSFJORD","Nord-Norge"
20,"FINNMARK",2030,"SØR-VARANGER",54,"TROMS OG FINNMARK",5444,"SØR-VARANGER","Nord-Norge"
50,"TRØNDELAG",5001,"TRONDHEIM",50,"TRØNDELAG",5001,"TRONDHEIM","Midt-Norge"
50,"TRØNDELAG",5004,"STEINKJER",50,"TRØNDELAG",5006,"STEINKJER","Midt-Norge"
50,"TRØNDELAG",5005,"NAMSOS",50,"TRØNDELAG",5007,"NAMSOS","Midt-Norge"
50,"TRØNDELAG",5011,"HEMNE",50,"TRØNDELAG",5055,"HEIM","Midt-Norge"
50,"TRØNDELAG",5012,"SNILLFJORD (DELES)",50,"TRØNDELAG",5055,"HEIM","Midt-Norge"
50,"TRØNDELAG",5012,"SNILLFJORD (DELES)",50,"TRØNDELAG",5056,"HITRA","Midt-Norge"
50,"TRØNDELAG",5012,"SNILLFJORD (DELES)",50,"TRØNDELAG",5059,"ORKLAND","Midt-Norge"
50,"TRØNDELAG",5013,"HITRA",50,"TRØNDELAG",5056,"HITRA","Midt-Norge"
50,"TRØNDELAG",5014,"FRØYA",50,"TRØNDELAG",5014,"FRØYA","Midt-Norge"
50,"TRØNDELAG",5015,"ØRLAND",50,"TRØNDELAG",5057,"ØRLAND","Midt-Norge"
50,"TRØNDELAG",5016,"AGDENES",50,"TRØNDELAG",5059,"ORKLAND","Midt-Norge"
50,"TRØNDELAG",5017,"BJUGN",50,"TRØNDELAG",5057,"ØRLAND","Midt-Norge"
50,"TRØNDELAG",5018,"ÅFJORD",50,"TRØNDELAG",5058,"ÅFJORD","Midt-Norge"
50,"TRØNDELAG",5019,"ROAN",50,"TRØNDELAG",5058,"ÅFJORD","Midt-Norge"
50,"TRØNDELAG",5020,"OSEN",50,"TRØNDELAG",5020,"OSEN","Midt-Norge"
50,"TRØNDELAG",5021,"OPPDAL",50,"TRØNDELAG",5021,"OPPDAL","Midt-Norge"
50,"TRØNDELAG",5022,"RENNEBU",50,"TRØNDELAG",5022,"RENNEBU","Midt-Norge"
50,"TRØNDELAG",5023,"MELDAL",50,"TRØNDELAG",5059,"ORKLAND","Midt-Norge"
50,"TRØNDELAG",5024,"ORKDAL",50,"TRØNDELAG",5059,"ORKLAND","Midt-Norge"
50,"TRØNDELAG",5025,"RØROS",50,"TRØNDELAG",5025,"RØROS","Midt-Norge"
50,"TRØNDELAG",5026,"HOLTÅLEN",50,"TRØNDELAG",5026,"HOLTÅLEN","Midt-Norge"
50,"TRØNDELAG",5027,"MIDTRE GAULDAL",50,"TRØNDELAG",5027,"MIDTRE GAULDAL","Midt-Norge"
50,"TRØNDELAG",5028,"MELHUS",50,"TRØNDELAG",5028,"MELHUS","Midt-Norge"
50,"TRØNDELAG",5029,"SKAUN",50,"TRØNDELAG",5029,"SKAUN","Midt-Norge"
50,"TRØNDELAG",5030,"KLÆBU",50,"TRØNDELAG",5001,"TRONDHEIM","Midt-Norge"
50,"TRØNDELAG",5031,"MALVIK",50,"TRØNDELAG",5031,"MALVIK","Midt-Norge"
50,"TRØNDELAG",5032,"SELBU",50,"TRØNDELAG",5032,"SELBU","Midt-Norge"
50,"TRØNDELAG",5033,"TYDAL",50,"TRØNDELAG",5033,"TYDAL","Midt-Norge"
50,"TRØNDELAG",5034,"MERÅKER",50,"TRØNDELAG",5034,"MERÅKER","Midt-Norge"
50,"TRØNDELAG",5035,"STJØRDAL",50,"TRØNDELAG",5035,"STJØRDAL","Midt-Norge"
50,"TRØNDELAG",5036,"FROSTA",50,"TRØNDELAG",5036,"FROSTA","Midt-Norge"
50,"TRØNDELAG",5037,"LEVANGER",50,"TRØNDELAG",5037,"LEVANGER","Midt-Norge"
50,"TRØNDELAG",5038,"VERDAL",50,"TRØNDELAG",5038,"VERDAL","Midt-Norge"
50,"TRØNDELAG",5039,"VERRAN",50,"TRØNDELAG",5006,"STEINKJER","Midt-Norge"
50,"TRØNDELAG",5040,"NAMDALSEID",50,"TRØNDELAG",5007,"NAMSOS","Midt-Norge"
50,"TRØNDELAG",5041,"SNÅSA",50,"TRØNDELAG",5041,"SNÅSA","Midt-Norge"
50,"TRØNDELAG",5042,"LIERNE",50,"TRØNDELAG",5042,"LIERNE","Midt-Norge"
50,"TRØNDELAG",5043,"RØYRVIK",50,"TRØNDELAG",5043,"RØYRVIK","Midt-Norge"
50,"TRØNDELAG",5044,"NAMSSKOGAN",50,"TRØNDELAG",5044,"NAMSSKOGAN","Midt-Norge"
50,"TRØNDELAG",5045,"GRONG",50,"TRØNDELAG",5045,"GRONG","Midt-Norge"
50,"TRØNDELAG",5046,"HØYLANDET",50,"TRØNDELAG",5046,"HØYLANDET","Midt-Norge"
50,"TRØNDELAG",5047,"OVERHALLA",50,"TRØNDELAG",5047,"OVERHALLA","Midt-Norge"
50,"TRØNDELAG",5048,"FOSNES",50,"TRØNDELAG",5007,"NAMSOS","Midt-Norge"
50,"TRØNDELAG",5049,"FLATANGER",50,"TRØNDELAG",5049,"FLATANGER","Midt-Norge"
50,"TRØNDELAG",5050,"VIKNA",50,"TRØNDELAG",5060,"NÆRØYSUND","Midt-Norge"
50,"TRØNDELAG",5051,"NÆRØY",50,"TRØNDELAG",5060,"NÆRØYSUND","Midt-Norge"
50,"TRØNDELAG",5052,"LEKA",50,"TRØNDELAG",5052,"LEKA","Midt-Norge"
50,"TRØNDELAG",5053,"INDERØY",50,"TRØNDELAG",5053,"INDERØY","Midt-Norge"
50,"TRØNDELAG",5054,"INDRE FOSEN",50,"TRØNDELAG",5054,"INDRE FOSEN","Midt-Norge"
50,"TRØNDELAG",5061,"RINDAL",50,"TRØNDELAG",5061,"RINDAL","Midt-Norge"
